negeri,parlimen,dun
"WILAYAH PERSEKUTUAN","WANGSA MAJU",NULL
"WILAYAH PERSEKUTUAN",SEGAMBUT,NULL
"WILAYAH PERSEKUTUAN",SETIAWANGSA,NULL
"WILAYAH PERSEKUTUAN",TITIWANGSA,NULL
"WILAYAH PERSEKUTUAN","BUKIT BINTANG",NULL
"WILAYAH PERSEKUTUAN","LEMBAH PANTAI",NULL
"WILAYAH PERSEKUTUAN",SEPUTEH,NULL
"WILAYAH PERSEKUTUAN",CHERAS,NULL
"WILAYAH PERSEKUTUAN","BANDAR TUN RAZAK",NULL
"WILAYAH PERSEKUTUAN",PUTRAJAYA,NULL
"WILAYAH PERSEKUTUAN",LABUAN,NULL
