import time: self [us] | cumulative | imported package
import time:       573 |      14276 |                           unittest
import time:       445 |        445 |                             numpy.testing._private
import time:        92 |         92 |                             gc
import time:      1131 |       1131 |                             numpy.lib.utils
import time:      1200 |       2867 |                           numpy.testing._private.utils
import time:       370 |        370 |                           numpy.testing._private.decorators
import time:       572 |        572 |                           numpy.testing._private.nosetester
import time:       400 |        400 |                           numpy.testing._private.pytesttester
import time:       458 |      18939 |                         numpy.testing
import time:        51 |      18989 |                       numpy.testing._private
import time:        71 |      19060 |                     numpy.testing._private.pytesttester
import time:      1391 |      47471 |                   numpy.core
import time:        65 |      47536 |                 numpy.core.numeric
import time:       370 |        370 |                 numpy.lib.ufunclike
import time:       481 |      48386 |               numpy.lib.type_check
import time:       351 |        351 |                   numpy.lib.twodim_base
import time:       694 |        694 |                   numpy.lib.histograms
import time:      1019 |       2063 |                 numpy.lib.function_base
import time:      2847 |       2847 |                       _ast
import time:       542 |       3388 |                     ast
import time:       366 |        366 |                       numpy.linalg.info
import time:      1659 |       1659 |                         numpy.linalg.lapack_lite
import time:      2599 |       2599 |                         numpy.linalg._umath_linalg
import time:       941 |       5198 |                       numpy.linalg.linalg
import time:       466 |       6030 |                     numpy.linalg
import time:       721 |      10138 |                   numpy.matrixlib.defmatrix
import time:       481 |      10619 |                 numpy.matrixlib
import time:       441 |        441 |                 numpy.lib.stride_tricks
import time:       747 |      13868 |               numpy.lib.index_tricks
import time:       457 |        457 |               numpy.lib.mixins
import time:       478 |        478 |               numpy.lib.nanfunctions
import time:       463 |        463 |               numpy.lib.shape_base
import time:       362 |        362 |               numpy.lib.scimath
import time:       898 |        898 |               numpy.lib.polynomial
import time:       391 |        391 |               numpy.lib.arraysetops
import time:       568 |        568 |                 numpy.lib.format
import time:       511 |        511 |                 numpy.lib._datasource
import time:       694 |        694 |                 numpy.lib._iotools
import time:       954 |       2726 |               numpy.lib.npyio
import time:      1580 |       1580 |                   _decimal
import time:       362 |       1941 |                 decimal
import time:       425 |       2365 |               numpy.lib.financial
import time:       451 |        451 |               numpy.lib.arrayterator
import time:       503 |        503 |               numpy.lib.arraypad
import time:       393 |        393 |               numpy.lib._version
import time:       917 |      73030 |             numpy.lib
import time:        92 |         92 |             numpy.core.c_einsum
import time:      2167 |       2167 |             numpy.core._multiarray_tests
import time:      2267 |      77554 |           numpy.add_newdocs
import time:       348 |        348 |           numpy._distributor_init
import time:       352 |        352 |             numpy.fft.info
import time:      1344 |       1344 |               numpy.fft.fftpack_lite
import time:       585 |        585 |               numpy.fft.helper
import time:       467 |       2394 |             numpy.fft.fftpack
import time:       372 |       3117 |           numpy.fft
import time:       427 |        427 |               numpy.polynomial.polyutils
import time:       517 |        517 |               numpy.polynomial._polybase
import time:       844 |       1787 |             numpy.polynomial.polynomial
import time:       853 |        853 |             numpy.polynomial.chebyshev
import time:       611 |        611 |             numpy.polynomial.legendre
import time:       625 |        625 |             numpy.polynomial.hermite
import time:       600 |        600 |             numpy.polynomial.hermite_e
import time:       599 |        599 |             numpy.polynomial.laguerre
import time:       613 |       5685 |           numpy.polynomial
import time:       507 |        507 |             numpy.random.info
import time:      4504 |       4504 |             numpy.random.mtrand
import time:       700 |       5711 |           numpy.random
import time:       664 |        664 |           numpy.ctypeslib
import time:      2182 |       2182 |               textwrap
import time:      4505 |       6687 |             numpy.ma.core
import time:      1183 |       1183 |             numpy.ma.extras
import time:       624 |       8493 |           numpy.ma
import time:      1969 |     105241 |         numpy
import time:       261 |        261 |           tensorflow.python.platform
import time:       241 |        241 |             tensorflow.python.platform.build_info
import time:       482 |        723 |           tensorflow.python.platform.self_check
import time:        96 |         96 |           tensorflow.python.pywrap_dlopen_global_flags
import time:       710 |        710 |             imp
import time:       246 |        246 |             swig_runtime_data4
import time:       278 |        278 |             tensorflow.python.util
import time:      1506 |       1506 |                 six
import time:       258 |        258 |                   tensorflow.python.util.tf_decorator
import time:       634 |        892 |                 tensorflow.python.util.tf_export
import time:       704 |       3101 |               tensorflow.python.platform.tf_logging
import time:       377 |        377 |               tensorflow.python.util.decorator_utils
import time:       249 |        249 |               tensorflow.python.util.is_in_graph_mode
import time:       246 |        246 |               tensorflow.python.util.tf_contextlib
import time:       413 |        413 |                       _opcode
import time:       539 |        951 |                     opcode
import time:       775 |       1725 |                   dis
import time:      2508 |       4233 |                 inspect
import time:       434 |       4666 |               tensorflow.python.util.tf_inspect
import time:      1052 |       9689 |             tensorflow.python.util.deprecation
import time:    120253 |     131174 |           tensorflow.python.pywrap_tensorflow_internal
import time:       786 |     133038 |         tensorflow.python.pywrap_tensorflow
import time:       321 |        321 |         tensorflow.python.tools
import time:       397 |        397 |         tensorflow.python.tools.component_api_helper
import time:       241 |        241 |             tensorflow.core
