import time: self [us] | cumulative | imported package
import time:       897 |       8203 |                         tensorflow.python.summary.summary
import time:       837 |        837 |                                         urllib3.packages.ssl_match_hostname
import time:       435 |       1271 |                                       urllib3.packages
import time:      2238 |       3509 |                                     urllib3.packages.six
import time:       201 |       3709 |                                   urllib3.packages.six.moves
import time:       210 |       3919 |                                 urllib3.packages.six.moves.http_client
import time:      3099 |       7017 |                               urllib3.exceptions
import time:       586 |        586 |                                       urllib3.util.wait
import time:       428 |        428 |                                       urllib3.contrib
import time:       782 |        782 |                                       urllib3.contrib._appengine_environ
import time:      1207 |       3001 |                                     urllib3.util.connection
import time:       552 |        552 |                                     urllib3.util.request
import time:       332 |        332 |                                     urllib3.util.response
import time:       509 |        509 |                                       hmac
import time:       606 |       1114 |                                     urllib3.util.ssl_
import time:       517 |        517 |                                     urllib3.util.timeout
import time:       893 |        893 |                                     urllib3.util.retry
import time:       917 |        917 |                                     urllib3.util.url
import time:       810 |       8133 |                                   urllib3.util
import time:        90 |       8223 |                                 urllib3.util.ssl_
import time:       747 |        747 |                                 urllib3._collections
import time:      1095 |      10064 |                               urllib3.connection
import time:       341 |        341 |                                       winreg
import time:       682 |       1023 |                                     mimetypes
import time:       492 |       1514 |                                   urllib3.fields
import time:       439 |       1952 |                                 urllib3.filepost
import time:       132 |        132 |                                   urllib3.packages.six.moves.urllib
import time:       202 |        334 |                                 urllib3.packages.six.moves.urllib.parse
import time:       646 |       2932 |                               urllib3.request
import time:       996 |        996 |                               urllib3.response
import time:       480 |        480 |                               urllib3.util.queue
import time:      1379 |      22865 |                             urllib3.connectionpool
import time:      1259 |       1259 |                             urllib3.poolmanager
import time:       827 |      24950 |                           urllib3
import time:      1492 |       1492 |                             chardet.compat
import time:       535 |        535 |                                 chardet.enums
import time:       443 |        443 |                                 chardet.charsetprober
import time:       505 |       1482 |                               chardet.charsetgroupprober
import time:       414 |        414 |                                 chardet.codingstatemachine
import time:       387 |        387 |                                 chardet.escsm
import time:       554 |       1354 |                               chardet.escprober
import time:       334 |        334 |                               chardet.latin1prober
import time:       310 |        310 |                                   chardet.mbcssm
import time:       297 |        606 |                                 chardet.utf8prober
import time:       394 |        394 |                                   chardet.mbcharsetprober
import time:       510 |        510 |                                     chardet.euctwfreq
import time:       438 |        438 |                                     chardet.euckrfreq
import time:       462 |        462 |                                     chardet.gb2312freq
import time:       564 |        564 |                                     chardet.big5freq
import time:       491 |        491 |                                     chardet.jisfreq
import time:       666 |       3128 |                                   chardet.chardistribution
import time:       531 |        531 |                                   chardet.jpcntx
import time:       425 |       4476 |                                 chardet.sjisprober
import time:       345 |        345 |                                 chardet.eucjpprober
import time:       308 |        308 |                                 chardet.gb2312prober
import time:       301 |        301 |                                 chardet.euckrprober
import time:       295 |        295 |                                 chardet.cp949prober
import time:       293 |        293 |                                 chardet.big5prober
import time:       289 |        289 |                                 chardet.euctwprober
import time:       551 |       7461 |                               chardet.mbcsgroupprober
import time:       268 |        268 |                                 chardet.sbcharsetprober
import time:       347 |        347 |                                 chardet.langcyrillicmodel
import time:       401 |        401 |                                 chardet.langgreekmodel
import time:       444 |        444 |                                 chardet.langbulgarianmodel
import time:       345 |        345 |                                 chardet.langthaimodel
import time:       383 |        383 |                                 chardet.langhebrewmodel
import time:       334 |        334 |                                 chardet.hebrewprober
import time:       344 |        344 |                                 chardet.langturkishmodel
import time:       622 |       3485 |                               chardet.sbcsgroupprober
import time:      1556 |      15669 |                             chardet.universaldetector
import time:       358 |        358 |                             chardet.version
import time:      1088 |      18606 |                           chardet
import time:      1255 |       1255 |                           requests.exceptions
import time:       260 |        260 |                               OpenSSL
import time:        73 |        332 |                             OpenSSL.SSL
import time:       961 |       1293 |                           urllib3.contrib.pyopenssl
import time:       276 |        276 |                           requests.__version__
import time:       312 |        312 |                                 certifi.core
import time:       419 |        731 |                               certifi
import time:       223 |        953 |                             requests.certs
import time:       218 |        218 |                                 simplejson
import time:      6264 |       6264 |                                 http.cookiejar
import time:      2817 |       2817 |                                 http.cookies
import time:       404 |       9702 |                               requests.compat
import time:       303 |      10004 |                             requests._internal_utils
import time:       708 |        708 |                             requests.cookies
import time:       434 |        434 |                             requests.structures
import time:      1072 |      13169 |                           requests.utils
import time:       311 |        311 |                               idna.package_data
import time:       446 |        446 |                                 idna.idnadata
import time:       584 |        584 |                                 unicodedata
import time:       302 |        302 |                                 idna.intranges
import time:      1378 |       2708 |                               idna.core
import time:       480 |       3498 |                             idna
import time:      1711 |       5208 |                           requests.packages
import time:       531 |        531 |                               stringprep
import time:       492 |       1023 |                             encodings.idna
import time:       267 |        267 |                             requests.hooks
import time:       625 |        625 |                             requests.auth
import time:       740 |        740 |                             requests.status_codes
import time:       857 |       3510 |                           requests.models
import time:       218 |        218 |                                   socks
import time:       333 |        550 |                                 urllib3.contrib.socks
import time:       564 |       1114 |                               requests.adapters
import time:       596 |       1709 |                             requests.sessions
import time:       469 |       2178 |                           requests.api
import time:      1186 |      71625 |                         requests
import time:      1785 |      82518 |                       tensorflow.python.keras.callbacks
import time:       666 |      83184 |                     tensorflow.python.keras.engine.distributed_training_utils
import time:       380 |        380 |                           scipy._distributor_init
import time:       436 |        436 |                           scipy.__config__
import time:       330 |        330 |                           scipy.version
import time:       444 |        444 |                               scipy._lib._testutils
import time:       323 |        767 |                             scipy._lib
import time:       324 |        324 |                             scipy._lib.six
import time:       427 |       1517 |                           scipy._lib._version
import time:      2247 |       2247 |                             scipy._lib._ccallback_c
import time:       483 |       2729 |                           scipy._lib._ccallback
import time:      1367 |       6757 |                         scipy
import time:       744 |        744 |                           scipy._lib._numpy_compat
import time:       477 |        477 |                           scipy.sparse.sputils
import time:      1092 |       2312 |                         scipy.sparse.base
import time:      1305 |       1305 |                           scipy.sparse._sparsetools
import time:       611 |        611 |                             scipy._lib._util
import time:       647 |        647 |                             scipy.sparse.data
import time:       439 |        439 |                             scipy.sparse.dia
import time:       977 |       2672 |                           scipy.sparse.compressed
import time:       520 |       4497 |                         scipy.sparse.csr
import time:       395 |        395 |                         scipy.sparse.csc
import time:      1453 |       1453 |                           scipy.sparse._csparsetools
import time:       640 |       2092 |                         scipy.sparse.lil
import time:       720 |        720 |                         scipy.sparse.dok
import time:       498 |        498 |                         scipy.sparse.coo
import time:      1450 |       1450 |                         scipy.sparse.bsr
import time:       501 |        501 |                         scipy.sparse.construct
import time:       294 |        294 |                         scipy.sparse.extract
import time:       324 |        324 |                         scipy.sparse._matrix_io
import time:       616 |        616 |                           scipy.sparse.csgraph._laplacian
import time:       563 |        563 |                               scipy.sparse.csgraph._tools
import time:       360 |        923 |                             scipy.sparse.csgraph._validation
import time:       850 |       1773 |                           scipy.sparse.csgraph._shortest_path
import time:       814 |        814 |                           scipy.sparse.csgraph._traversal
import time:      1509 |       1509 |                           scipy.sparse.csgraph._min_spanning_tree
import time:       978 |        978 |                           scipy.sparse.csgraph._reordering
import time:       671 |       6357 |                         scipy.sparse.csgraph
import time:      1194 |      27386 |                       scipy.sparse
import time:       535 |      27920 |                     tensorflow.python.keras.engine.training_arrays
import time:       579 |        579 |                     tensorflow.python.keras.engine.training_distributed
import time:       463 |        463 |                     tensorflow.python.keras.engine.training_eager
import time:       377 |        377 |                     tensorflow.python.keras.engine.training_generator
import time:       246 |        246 |                         yaml
import time:       650 |        895 |                       tensorflow.python.keras.engine.saving
import time:       244 |        244 |                       yaml
import time:      1041 |       2180 |                     tensorflow.python.keras.engine.network
import time:      1910 |     128236 |                   tensorflow.python.keras.engine.training
import time:       537 |     128772 |                 tensorflow.python.keras.utils.multi_gpu_utils
import time:       324 |        324 |                 tensorflow.python.keras.utils.np_utils
import time:       222 |        222 |                   pydot_ng
import time:       229 |        229 |                   pydotplus
import time:       231 |        231 |                   pydot
import time:       411 |       1092 |                 tensorflow.python.keras.utils.vis_utils
import time:       701 |     236762 |               tensorflow.python.keras.utils
import time:        52 |     236813 |             tensorflow.python.keras.utils.generic_utils
import time:       936 |     249754 |           tensorflow.python.keras.activations
import time:       408 |        408 |             keras_applications
import time:       740 |        740 |               tensorflow.python.keras.layers.advanced_activations
import time:      1088 |       1088 |                 tensorflow.python.keras.layers.pooling
import time:      1789 |       2877 |               tensorflow.python.keras.layers.convolutional
import time:      1535 |       1535 |               tensorflow.python.keras.layers.core
import time:       878 |        878 |               tensorflow.python.keras.layers.embeddings
import time:       703 |        703 |               tensorflow.python.keras.layers.local
import time:       768 |        768 |               tensorflow.python.keras.layers.merge
import time:       464 |        464 |               tensorflow.python.keras.layers.noise
import time:       554 |        554 |               tensorflow.python.keras.layers.normalization
import time:      1184 |       1184 |               tensorflow.python.keras.layers.recurrent
import time:       752 |        752 |               tensorflow.python.keras.layers.convolutional_recurrent
import time:       559 |        559 |               tensorflow.python.keras.layers.cudnn_recurrent
import time:       628 |        628 |               tensorflow.python.keras.layers.wrappers
import time:       398 |        398 |               tensorflow.python.keras.layers.serialization
import time:      1139 |      13171 |             tensorflow.python.keras.layers
import time:       731 |        731 |               tensorflow.python.keras.engine.sequential
import time:       661 |       1392 |             tensorflow.python.keras.models
import time:       324 |        324 |                 keras_applications.imagenet_utils
import time:       618 |        941 |               keras_applications.densenet
import time:       642 |       1583 |             tensorflow.python.keras.applications.densenet
import time:       313 |        313 |               keras_applications.inception_resnet_v2
import time:       396 |        709 |             tensorflow.python.keras.applications.inception_resnet_v2
import time:       305 |        305 |               keras_applications.inception_v3
import time:       355 |        659 |             tensorflow.python.keras.applications.inception_v3
import time:       313 |        313 |               keras_applications.mobilenet
import time:       373 |        686 |             tensorflow.python.keras.applications.mobilenet
import time:       306 |        306 |               keras_applications.mobilenet_v2
import time:       345 |        650 |             tensorflow.python.keras.applications.mobilenet_v2
import time:       371 |        371 |               keras_applications.nasnet
import time:       347 |        718 |             tensorflow.python.keras.applications.nasnet
import time:       448 |        448 |               keras_applications.resnet50
import time:       527 |        974 |             tensorflow.python.keras.applications.resnet50
import time:       293 |        293 |               keras_applications.vgg16
import time:       403 |        695 |             tensorflow.python.keras.applications.vgg16
import time:       271 |        271 |               keras_applications.vgg19
import time:       346 |        616 |             tensorflow.python.keras.applications.vgg19
import time:       296 |        296 |               keras_applications.xception
import time:       343 |        639 |             tensorflow.python.keras.applications.xception
import time:       832 |      23724 |           tensorflow.python.keras.applications
import time:       362 |        362 |             tensorflow.python.keras.datasets.boston_housing
import time:       238 |        238 |               tensorflow.python.keras.datasets.cifar
import time:       354 |        592 |             tensorflow.python.keras.datasets.cifar10
import time:       297 |        297 |             tensorflow.python.keras.datasets.cifar100
import time:       620 |        620 |               gzip
import time:       314 |        933 |             tensorflow.python.keras.datasets.fashion_mnist
import time:       354 |        354 |                   keras_preprocessing
import time:       235 |        235 |                       PIL
import time:       389 |        389 |                         scipy.linalg.linalg_version
import time:      6958 |       6958 |                             scipy.linalg._fblas
import time:       178 |        178 |                             scipy.linalg._cblas
import time:       518 |       7653 |                           scipy.linalg.blas
import time:      1802 |       1802 |                             scipy.linalg._flapack
import time:       159 |        159 |                             scipy.linalg._clapack
import time:      1125 |       3084 |                           scipy.linalg.lapack
import time:       384 |      11120 |                         scipy.linalg.misc
import time:       547 |        547 |                             scipy.linalg._flinalg
import time:       308 |        854 |                           scipy.linalg.flinalg
import time:      1437 |       1437 |                           scipy.linalg.decomp
import time:       422 |        422 |                           scipy.linalg.decomp_svd
import time:       804 |        804 |                           scipy.linalg._solve_toeplitz
import time:       816 |       4331 |                         scipy.linalg.basic
import time:       366 |        366 |                         scipy.linalg.decomp_lu
import time:       404 |        404 |                         scipy.linalg._decomp_ldl
import time:       371 |        371 |                         scipy.linalg.decomp_cholesky
import time:       334 |        334 |                         scipy.linalg.decomp_qr
import time:       356 |        356 |                         scipy.linalg._decomp_qz
import time:       366 |        366 |                         scipy.linalg.decomp_schur
import time:       341 |        341 |                         scipy.linalg._decomp_polar
import time:       497 |        497 |                           scipy.linalg.special_matrices
import time:       496 |        496 |                           scipy.linalg._expm_frechet
import time:       614 |        614 |                           scipy.linalg._matfuncs_sqrtm
import time:       605 |       2211 |                         scipy.linalg.matfuncs
import time:       748 |        748 |                         scipy.linalg._solvers
import time:       386 |        386 |                         scipy.linalg._procrustes
import time:       920 |        920 |                           scipy.linalg.cython_blas
import time:      2722 |       2722 |                           scipy.linalg.cython_lapack
import time:       877 |       4519 |                         scipy.linalg._decomp_update
import time:       392 |        392 |                         scipy.linalg._sketches
import time:       292 |        292 |                         numpy.dual
import time:      1194 |      28111 |                       scipy.linalg
import time:       268 |        268 |                           scipy.ndimage._ni_support
import time:       552 |        552 |                           scipy.ndimage._nd_image
import time:       537 |        537 |                               scipy.misc.doccer
import time:       324 |        324 |                               scipy.misc.common
import time:       467 |        467 |                                       scipy.special.sf_error
import time:      2030 |       2030 |                                         scipy.special._ufuncs_cxx
import time:      3444 |       5474 |                                       scipy.special._ufuncs
import time:      2269 |       2269 |                                         scipy.special.specfun
import time:       906 |        906 |                                         scipy.special.orthogonal
import time:      1632 |       1632 |                                         scipy.special._comb
import time:      1054 |       5860 |                                       scipy.special.basic
import time:       374 |        374 |                                       scipy.special._logsumexp
import time:       285 |        285 |                                       scipy.special.spfun_stats
import time:      1678 |       1678 |                                         scipy.special._ellip_harm_2
import time:       359 |       2037 |                                       scipy.special._ellip_harm
import time:       328 |        328 |                                       scipy.special.lambertw
import time:       337 |        337 |                                       scipy.special._spherical_bessel
import time:      1124 |      16281 |                                     scipy.special
import time:       744 |        744 |                                         scipy.interpolate._fitpack
import time:       828 |        828 |                                         scipy.interpolate.dfitpack
import time:       601 |       2173 |                                       scipy.interpolate._fitpack_impl
import time:       966 |        966 |                                         scipy.interpolate._bspl
import time:       729 |       1694 |                                       scipy.interpolate._bsplines
import time:       443 |       4308 |                                     scipy.interpolate.fitpack
import time:       556 |        556 |                                     scipy.interpolate.polyint
import time:       967 |        967 |                                     scipy.interpolate._ppoly
import time:      1254 |       1254 |                                     scipy.interpolate.fitpack2
import time:       668 |        668 |                                           scipy.spatial.kdtree
import time:      2208 |       2208 |                                           scipy.spatial.ckdtree
import time:       132 |        132 |                                               scipy._lib.os
import time:       105 |        105 |                                               scipy._lib.sys
import time:       107 |        107 |                                               scipy._lib.tempfile
import time:      1620 |       1963 |                                             scipy._lib.messagestream
import time:      1527 |       3490 |                                           scipy.spatial.qhull
import time:       773 |        773 |                                             scipy.spatial._voronoi
import time:       940 |        940 |                                               scipy.spatial._distance_wrap
import time:       770 |        770 |                                               scipy.spatial._hausdorff
import time:      1184 |       2894 |                                             scipy.spatial.distance
import time:       563 |       4229 |                                           scipy.spatial._spherical_voronoi
import time:      1102 |       1102 |                                             scipy._lib.decorator
import time:       951 |       2053 |                                           scipy.spatial._plotutils
import time:       341 |        341 |                                           scipy.spatial._procrustes
import time:       655 |        655 |                                             scipy.spatial.transform.rotation
import time:       378 |       1032 |                                           scipy.spatial.transform
import time:       709 |      14727 |                                         scipy.spatial
import time:        55 |      14782 |                                       scipy.spatial.qhull
import time:      1127 |      15908 |                                     scipy.interpolate.interpnd
import time:      1708 |      40978 |                                   scipy.interpolate.interpolate
import time:       502 |        502 |                                   scipy.interpolate.rbf
import time:       685 |        685 |                                   scipy.interpolate._cubic
import time:       359 |        359 |                                   scipy.interpolate.ndgriddata
import time:       280 |        280 |                                   scipy.interpolate._pade
import time:       557 |      43359 |                                 scipy.interpolate
import time:        54 |      43413 |                               scipy.interpolate._pade
import time:       270 |        270 |                                 PIL
import time:       242 |        242 |                                 Image
import time:       449 |        960 |                               scipy.misc.pilutil
import time:       650 |      45882 |                             scipy.misc
import time:       573 |      46454 |                           scipy.ndimage._ni_docstrings
import time:      3617 |      50889 |                         scipy.ndimage.filters
import time:       429 |        429 |                         scipy.ndimage.fourier
import time:      1260 |       1260 |                         scipy.ndimage.interpolation
import time:       841 |        841 |                           scipy.ndimage._ni_label
import time:       600 |        600 |                           scipy.ndimage.morphology
import time:       633 |       2073 |                         scipy.ndimage.measurements
import time:       247 |        247 |                             PIL
import time:       247 |        247 |                             Image
import time:       411 |        904 |                           scipy.misc.pilutil
import time:       506 |       1409 |                         scipy.ndimage.io
import time:       597 |      56656 |                       scipy.ndimage
import time:      1064 |      86064 |                     keras_preprocessing.image
import time:       904 |      86968 |                   tensorflow.python.keras.preprocessing.image
import time:       378 |        378 |                     keras_preprocessing.sequence
import time:       423 |        800 |                   tensorflow.python.keras.preprocessing.sequence
import time:       402 |        402 |                     keras_preprocessing.text
import time:       358 |        759 |                   tensorflow.python.keras.preprocessing.text
import time:       457 |      89336 |                 tensorflow.python.keras.preprocessing
import time:        57 |      89393 |               tensorflow.python.keras.preprocessing.sequence
import time:       386 |      89779 |             tensorflow.python.keras.datasets.imdb
import time:       306 |        306 |             tensorflow.python.keras.datasets.mnist
import time:       513 |        513 |             tensorflow.python.keras.datasets.reuters
import time:       652 |      93430 |           tensorflow.python.keras.datasets
import time:       232 |        232 |                   tensorflow.python.estimator.canned
import time:       240 |        240 |                       tensorflow.python.estimator.export
import time:       350 |        350 |                         tensorflow.python.saved_model
import time:       295 |        295 |                             tensorflow.python.saved_model.signature_constants
import time:       270 |        270 |                                 tensorflow.python.saved_model.constants
import time:       359 |        628 |                               tensorflow.python.saved_model.utils_impl
import time:       293 |        921 |                             tensorflow.python.saved_model.utils
import time:       468 |       1683 |                           tensorflow.python.saved_model.signature_def_utils_impl
import time:       514 |       2196 |                         tensorflow.python.saved_model.signature_def_utils
import time:      1706 |       4251 |                       tensorflow.python.estimator.export.export_output
import time:       422 |        422 |                       tensorflow.python.saved_model.tag_constants
import time:       257 |        257 |                         tensorflow.python.distribute
import time:       396 |        396 |                         tensorflow.python.distribute.distribute_coordinator_context
import time:       486 |        486 |                         tensorflow.python.ops.resources
import time:       487 |        487 |                         tensorflow.python.training.coordinator
import time:       458 |        458 |                             tensorflow.core.protobuf.queue_runner_pb2
import time:      4100 |       4558 |                           tensorflow.python.training.queue_runner_impl
import time:       320 |       4877 |                         tensorflow.python.training.queue_runner
import time:       553 |        553 |                         tensorflow.python.training.session_manager
import time:      1299 |       8353 |                       tensorflow.python.training.monitored_session
import time:      1198 |      14461 |                     tensorflow.python.estimator.model_fn
import time:       446 |        446 |                             tensorflow.python.training.server_lib
import time:       498 |        943 |                           tensorflow.python.distribute.multi_worker_util
import time:       531 |       1474 |                         tensorflow.python.distribute.distribute_coordinator
import time:       374 |       1847 |                       tensorflow.python.distribute.estimator_training
import time:       368 |        368 |                       tensorflow.python.util.compat_internal
import time:       903 |       3117 |                     tensorflow.python.estimator.run_config
import time:       917 |        917 |                           tensorflow.python.ops.gen_sdca_ops
import time:      2899 |       3815 |                         tensorflow.python.ops.sdca_ops
import time:      3069 |       3069 |                             tensorflow.python.training.gen_training_ops
import time:       341 |       3410 |                           tensorflow.python.training.training_ops
import time:       567 |       3976 |                         tensorflow.python.training.adadelta
import time:       471 |        471 |                         tensorflow.python.training.adagrad
import time:       399 |        399 |                         tensorflow.python.training.adagrad_da
import time:       371 |        371 |                         tensorflow.python.training.proximal_adagrad
import time:       424 |        424 |                         tensorflow.python.training.adam
import time:       385 |        385 |                         tensorflow.python.training.ftrl
import time:       365 |        365 |                         tensorflow.python.training.momentum
import time:       454 |        454 |                         tensorflow.python.training.moving_averages
import time:       452 |        452 |                         tensorflow.python.training.rmsprop
import time:       365 |        365 |                         tensorflow.python.training.gradient_descent
import time:       360 |        360 |                         tensorflow.python.training.proximal_gradient_descent
import time:       493 |        493 |                         tensorflow.python.training.sync_replicas_optimizer
import time:       275 |        275 |                           tensorflow.python.layers
import time:       472 |        472 |                           tensorflow.python.layers.utils
import time:      2453 |       3199 |                         tensorflow.python.training.input
import time:       406 |        406 |                         tensorflow.python.training.basic_loops
import time:       431 |        431 |                         tensorflow.python.training.checkpoint_utils
import time:      3421 |       3421 |                         tensorflow.python.training.device_setter
import time:      1065 |       1065 |                         tensorflow.python.training.supervisor
import time:       597 |        597 |                             tensorflow.python.ops.gen_checkpoint_ops
import time:      2199 |       2796 |                           tensorflow.python.training.checkpoint_ops
import time:       888 |       3683 |                         tensorflow.python.training.warm_starting_util
import time:       423 |        423 |                           tensorflow.core.example
import time:       753 |        753 |                           tensorflow.core.example.feature_pb2
import time:       700 |       1874 |                         tensorflow.core.example.example_pb2
import time:       743 |        743 |                           tensorflow.python.training.learning_rate_decay_v2
import time:       552 |       1295 |                         tensorflow.python.training.learning_rate_decay
import time:      1593 |      29286 |                       tensorflow.python.training.training
import time:       617 |      29903 |                     tensorflow.python.estimator.util
import time:      1148 |       1148 |                     tensorflow.python.estimator.export.export
import time:      1205 |       1205 |                       tensorflow.python.ops.metrics_impl
import time:       398 |       1603 |                     tensorflow.python.ops.metrics
import time:       447 |        447 |                         tensorflow.core.protobuf.saved_model_pb2
import time:       981 |       1428 |                       tensorflow.python.saved_model.builder_impl
import time:       346 |       1773 |                     tensorflow.python.saved_model.builder
import time:       500 |        500 |                     tensorflow.python.training.evaluation
import time:      1705 |      54207 |                   tensorflow.python.estimator.estimator
import time:       299 |        299 |                     tensorflow.python.estimator.canned.metric_keys
import time:       293 |        293 |                     tensorflow.python.estimator.canned.prediction_keys
import time:       281 |        281 |                     tensorflow.python.feature_column
import time:       448 |        448 |                       tensorflow.python.layers.base
import time:      3967 |       4415 |                     tensorflow.python.feature_column.feature_column
import time:       395 |        395 |                     tensorflow.python.ops.losses.losses
import time:      1336 |       7016 |                   tensorflow.python.estimator.canned.head
import time:       341 |        341 |                   tensorflow.python.estimator.canned.optimizers
import time:       795 |      62588 |                 tensorflow.python.estimator.canned.baseline
import time:       267 |        267 |                     tensorflow.core.kernels
import time:       483 |        750 |                   tensorflow.core.kernels.boosted_trees
import time:      2324 |       2324 |                   tensorflow.core.kernels.boosted_trees.boosted_trees_pb2
import time:       374 |        374 |                   tensorflow.python.estimator.canned.boosted_trees_utils
import time:      1598 |       1598 |                     tensorflow.python.ops.gen_boosted_trees_ops
import time:       523 |       2120 |                   tensorflow.python.ops.boosted_trees_ops
import time:      1584 |       7150 |                 tensorflow.python.estimator.canned.boosted_trees
import time:      3665 |       3665 |                   tensorflow.python.feature_column.feature_column_v2
import time:       589 |        589 |                   tensorflow.python.layers.core
import time:       402 |        402 |                   tensorflow.python.layers.normalization
import time:      1020 |       5674 |                 tensorflow.python.estimator.canned.dnn
import time:       462 |        462 |                   tensorflow.python.estimator.canned.linear
import time:       583 |       1045 |                 tensorflow.python.estimator.canned.dnn_linear_combined
import time:       336 |        336 |                 tensorflow.python.estimator.canned.parsing_utils
import time:       365 |        365 |                 tensorflow.python.estimator.export.export_lib
import time:       456 |        456 |                   tensorflow.python.estimator.gc
import time:       801 |       1256 |                 tensorflow.python.estimator.exporter
import time:       371 |        371 |                 tensorflow.python.estimator.inputs
import time:       272 |        272 |                     tensorflow.python.estimator.inputs.queues
import time:       352 |        352 |                       tensorflow.python.estimator.inputs.queues.feeding_queue_runner
import time:       526 |        526 |                           pytz.exceptions
import time:       733 |        733 |                           pytz.lazy
import time:      1469 |       1469 |                           pytz.tzinfo
import time:       511 |        511 |                           pytz.tzfile
import time:      1444 |       4681 |                         pytz
import time:       352 |        352 |                           dateutil._version
import time:       501 |        852 |                         dateutil
import time:       438 |        438 |                               distutils
import time:      1172 |       1609 |                             distutils.version
import time:       265 |        265 |                             __builtin__
import time:       422 |        422 |                             pandas.compat.chainmap
import time:       287 |        287 |                                   dateutil._common
import time:       496 |        782 |                                 dateutil.relativedelta
import time:       378 |        378 |                                     dateutil.tz._common
import time:       434 |        434 |                                     dateutil.tz._factories
import time:        63 |         63 |                                       six.moves.winreg
import time:       417 |        480 |                                     dateutil.tz.win
import time:      1382 |       2672 |                                   dateutil.tz.tz
import time:       451 |       3123 |                                 dateutil.tz
import time:      1232 |       5137 |                               dateutil.parser._parser
import time:       602 |        602 |                               dateutil.parser.isoparser
import time:       514 |       6252 |                             dateutil.parser
import time:      2526 |       2526 |                             typing
import time:      1338 |      12409 |                           pandas.compat
import time:       590 |      12998 |                         pandas.compat.numpy
import time:       493 |        493 |                               pandas._libs.tslibs
import time:      2090 |       2090 |                               pandas._libs.tslibs.np_datetime
import time:       154 |        154 |                                 pandas._libs.tslibs.numpy
import time:      2899 |       3053 |                               pandas._libs.tslibs.nattype
import time:       164 |        164 |                                 pandas._libs.tslibs.collections
import time:       136 |        136 |                                 pandas._libs.tslibs.textwrap
import time:       165 |        165 |                                 pandas._libs.tslibs.warnings
import time:       132 |        132 |                                 pandas._libs.tslibs.sys
import time:        98 |         98 |                                 pandas._libs.tslibs.numpy
import time:      4194 |       4887 |                               pandas._libs.tslibs.timedeltas
import time:       152 |        152 |                                   pandas._libs.tslibs.dateutil
import time:        88 |        240 |                                 pandas._libs.tslibs.dateutil.tz
import time:        99 |         99 |                                   pandas._libs.tslibs.dateutil
import time:        53 |        151 |                                 pandas._libs.tslibs.dateutil.tz
import time:       106 |        106 |                                   pandas._libs.tslibs.pytz
import time:        47 |        152 |                                 pandas._libs.tslibs.pytz.tzinfo
import time:        99 |         99 |                                 pandas._libs.tslibs.pytz
import time:        87 |         87 |                                 pandas._libs.tslibs.numpy
import time:      2309 |       3035 |                               pandas._libs.tslibs.timezones
import time:        91 |         91 |                               pandas._libs.tslibs.numpy
import time:        81 |         81 |                               pandas._libs.tslibs.pytz
import time:        85 |         85 |                               pandas._libs.tslibs.datetime
import time:       297 |        297 |                                 backports_abc
import time:       137 |        137 |                                 pandas._libs.tslibs.sys
import time:       108 |        108 |                                 pandas._libs.tslibs.re
import time:        82 |         82 |                                 pandas._libs.tslibs.datetime
import time:        86 |         86 |                                 pandas._libs.tslibs.time
import time:        81 |         81 |                                 pandas._libs.tslibs.numpy
import time:        85 |         85 |                                 pandas._libs.tslibs.io
import time:        83 |         83 |                                   pandas._libs.tslibs.dateutil
import time:        37 |        119 |                                 pandas._libs.tslibs.dateutil.tz
import time:        87 |         87 |                                   pandas._libs.tslibs.dateutil
import time:        43 |        129 |                                 pandas._libs.tslibs.dateutil.relativedelta
import time:        82 |         82 |                                   pandas._libs.tslibs.dateutil
import time:        49 |        131 |                                 pandas._libs.tslibs.dateutil.parser
import time:        80 |         80 |                                   pandas._libs.tslibs.dateutil
import time:        48 |        128 |                                 pandas._libs.tslibs.dateutil.parser
import time:       181 |        181 |                                   pandas._libs.tslibs.locale
import time:       368 |        368 |                                     backports_abc
